branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,college_code,college_name,round
DS Comp. Sc. Engg- Data Sc.,,,,91610,131558,,,,,,,,87537,,,86566,,99973,191208,,195326,216122,,,E139,Impact College of Engineering and Applied Sciences  Bangalore,Mock1
EC Electronics,,,105919,102788,,,103493,,,96030,,,,,,93209,,94830,201994,,,187828,,,E139,Impact College of Engineering and Applied Sciences  Bangalore,Mock1
ME Mechanical,,,,268506,,,,,,,,,,,,245148,,,249529,,,,,,E139,Impact College of Engineering and Applied Sciences  Bangalore,Mock1
RO Auto. And Robot.,120021,,,100647,,118619,111483,,,94972,,,96005,,,83043,94897,90081,136017,,140297,164404,,,E139,Impact College of Engineering and Applied Sciences  Bangalore,Mock1
AM B Tech in AM,10453,,10731,10469,25257,12867,14049,,,6117,20631,,6626,,10378,4610,19519,9931,46937,56581,61112,49894,,63360,E141,P E S University (Electronic City Campus)  Bangalore,Mock1
BB B Tech in EC,10870,29883,,12572,,15181,16520,,34258,6959,,14805,9576,,,6332,21937,13979,62422,,72041,56703,,,E141,P E S University (Electronic City Campus)  Bangalore,Mock1
BW B Tech in CS,9479,,12601,9444,19600,13129,13449,41446,13867,5903,,8892,5948,15165,9482,4053,14327,7869,54207,70845,67597,42291,56169,67099,E141,P E S University (Electronic City Campus)  Bangalore,Mock1
AI Artificial Intelligence,,,126172,72728,,86323,69677,,,52499,,55889,54889,,,50661,64544,53613,131519,,,99210,,,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.",Mock1
CE Civil,212316,,,158297,,242648,,,,168871,,,168391,,,153713,171533,157689,238621,,270666,246239,,,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.",Mock1
CS Computers,152975,,,152093,161978,197247,232898,,,119890,140958,135087,170561,,236266,109297,113014,134379,273980,,,269369,,,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.",Mock1
EC Electronics,103952,,,82705,101015,110836,133354,,,65762,,,67268,,70389,63668,67665,66957,194444,222620,224839,194648,,209905,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.",Mock1
IE Info.Science,97639,,,72427,,,63297,,139267,,,50866,56215,69100,,48391,,48433,169972,,,145058,,,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.",Mock1
ME Mechanical,,,,192048,,,,,,197681,,,,,,156833,,190603,254979,,,,,,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.",Mock1
"AD Artificial Intel, Data Sc",59677,,,86293,,107642,81708,,,71054,,,62881,117255,,59523,,73029,178944,,183444,94497,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
AE Aeronaut.Engg,90967,,,101243,117256,108461,96707,,,102645,,,93792,,,89349,,94733,131577,,148737,113105,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
AI Artificial Intelligence,79070,,,82370,,,89113,,,73888,,,74530,,,72722,76966,79122,142012,,173146,152845,,177577,E144,Srinivas Institute of Technology  Mangalore.,Mock1
AU Automobile,,,,140193,,,,,,163997,,172574,,,,127183,,144352,226940,,,186612,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
CB Comp. Sc. and Bus Sys.,141212,183604,,108159,,,118205,,,108877,,,112013,,115809,105095,,105811,199917,,,244722,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
CD Computer Sc. and Design,118064,,,109630,,,,,,,,,,,,103635,,112744,250787,,,,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
CS Computers,72096,,,75052,,82444,86578,,,66651,,,68812,,77867,65911,67337,68413,166576,181843,187218,129082,,176853,E144,Srinivas Institute of Technology  Mangalore.,Mock1
EC Electronics,86607,,,95591,101452,100633,85093,,,99061,,,100326,,,78305,,97954,178737,,183795,142008,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
EE Electrical,,,140363,120682,,,,,,133825,,,,,,118173,170491,,209454,,,,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
IE Info.Science,,,98485,84378,,,,,,,,,85083,,,76510,86189,84225,208073,,,99840,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
ME Mechanical,,,,,,,,,214663,,,,241577,,,183211,,199527,,,,229085,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
MR Marine Engineering,71037,,,93333,,111614,95537,,,81455,,,80231,,,69954,76377,73963,106062,138679,195211,93929,,,E144,Srinivas Institute of Technology  Mangalore.,Mock1
AI Artificial Intelligence,51325,,63612,42747,60939,55816,40601,,,39763,,,42900,,,39602,54040,50537,96272,,,93180,,,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
CD Computer Sc. and Design,62782,,,78088,,92455,,124306,,58174,,,66241,,,55944,,69942,144347,,145169,178215,,,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
CE Civil,257715,,,198753,,,,,,162052,,179355,207525,248772,,156871,,178904,206476,,222582,231155,,,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
CS Computers,48506,,51635,43236,48092,45799,43476,,58844,38691,,,38783,,45339,37314,39712,42235,109872,119371,132662,111669,136960,140347,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
EC Electronics,62055,,,62554,,68248,81626,,125564,54037,67863,,59592,,,53598,65462,63606,159846,,193626,173729,,229246,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
EE Electrical,81847,,,88062,,,114823,,,82357,,94206,80468,,,80245,102470,93703,175469,241838,242562,219888,,,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
"IC CS-IoT, Cyber Security",79402,168347,,66672,,,93413,,,59536,,,56947,,,55915,,71052,176866,,229499,78451,,,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
IE Info.Science,59269,,,56463,,70074,73753,,,51243,,,51373,71431,54882,49366,50772,53793,160245,,189349,170368,,269963,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
RA Robotics and Automation,92776,,,95449,,105580,120527,,,83907,,,87564,,,82174,114076,104735,176683,,203759,137238,,,E145,"Rajarajeswari College of Engineering  Kumbalagodu,Bangalore",Mock1
"AD Artificial Intel, Data Sc",,,,92127,,,,,144600,,,,,,,86075,92007,92240,199429,,,158546,,,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
AE Aeronaut.Engg,107355,,,117747,,120349,104079,,,110646,,,113002,,,100883,,112889,133670,,172841,157199,,,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
"CA CS (AI, Machine Learning)",,,,103180,,,,,,,,105383,,,,83837,,99167,205075,,,246265,,,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
CE Civil,,,,,,,,,,,,,,,,273200,,,,,,,,,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
CS Computers,110900,,,106099,109590,112029,97560,,,98176,,,94842,,103685,92211,97161,101630,185053,197726,196094,164802,,178570,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
EC Electronics,129332,,,124816,,129047,134359,,,125219,,,116334,,125008,114984,117633,125005,181453,216347,202980,221332,,260869,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
IE Info.Science,135741,147906,,115097,,117184,123938,,,112511,,,114208,,,110178,,113814,231413,,268978,240117,,,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
ME Mechanical,,,,,,,,,,,,,,,,268842,,,,,,,,,E146,"Shreedevi Institute of Technology  Kenjar, Mangalore",Mock1
AI Artificial Intelligence,80897,,,72091,,111116,68308,,,,,,68995,,,63089,97968,88308,146971,,190864,130702,,,E147,T.John Engineering College  Bangalore,Mock1
CS Computers,77920,,,77432,88553,96305,77563,,,71283,,,74091,,90249,68089,69648,74307,136734,179845,180441,159898,,171542,E147,T.John Engineering College  Bangalore,Mock1
DC Data Sciences,,,,104146,,117172,,,,78550,,,79199,120119,,77392,,100215,162268,,201435,209881,,,E147,T.John Engineering College  Bangalore,Mock1
EC Electronics,100092,,,107907,,,,,123162,88626,,,87744,,,83978,,85102,157093,,,266887,,,E147,T.John Engineering College  Bangalore,Mock1
"IC CS-IoT, Cyber Security",110445,,142201,105370,,,96027,,146900,92516,,,97544,,,90065,135967,103419,193768,,241458,246021,,,E147,T.John Engineering College  Bangalore,Mock1
IE Info.Science,82423,,,85013,,,101306,,,80297,,92791,81490,,,79628,88830,89679,192193,,,208616,,,E147,T.John Engineering College  Bangalore,Mock1
AI Artificial Intelligence,31166,,33259,33254,,34614,34254,,,32511,,,32293,47761,,30238,30786,32731,78658,,85989,121832,,152098,E149,Cambridge Institutute of Technology  Bangalore,Mock1
CE Civil,199419,,,185227,,,198287,,,,241306,174906,162096,,,156946,160419,160699,166724,,,206992,,,E149,Cambridge Institutute of Technology  Bangalore,Mock1
CS Computers,33121,,,30670,34404,33892,35962,,59234,28333,,30284,27879,,30261,26653,32703,30025,94954,127894,113876,94489,125529,141760,E149,Cambridge Institutute of Technology  Bangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,36907,,59445,33029,,,43505,,,33841,,38798,34052,,,31612,48785,32908,101596,,,108489,,,E149,Cambridge Institutute of Technology  Bangalore,Mock1
EC Electronics,48494,,,45534,51407,55934,55202,,,44024,,,44718,,53728,42577,43240,48994,136370,179565,171269,185058,,218847,E149,Cambridge Institutute of Technology  Bangalore,Mock1
EE Electrical,91623,160983,,74886,,107498,87807,,,72655,,,70741,,,68120,101016,86417,163082,,249714,171095,,,E149,Cambridge Institutute of Technology  Bangalore,Mock1
"IC CS-IoT, Cyber Security",37129,,,43502,,52430,50233,,,35974,,,36191,,,34748,57723,41140,135103,231437,135447,153319,,,E149,Cambridge Institutute of Technology  Bangalore,Mock1
IE Info.Science,36948,,,37320,39702,47232,45506,,,34910,,,35761,,38705,34440,35803,37106,120989,171057,143141,122841,,143218,E149,Cambridge Institutute of Technology  Bangalore,Mock1
ME Mechanical,169771,,,175185,,,204225,,,147607,,,143030,,,140181,,143924,211016,,242114,,,,E149,Cambridge Institutute of Technology  Bangalore,Mock1
AI Artificial Intelligence,,,,52679,,60220,57080,,,41081,,64455,39976,,,38408,42239,51221,131661,194187,,113963,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
CD Computer Sc. and Design,,,,84821,,120341,81767,,,78647,148761,,72704,,,71864,,78785,154497,,225504,188542,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
CE Civil,,,,244780,,,247787,,,230553,,,205802,,,191786,,205275,241199,,252954,254753,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
CO Computer Engineering,88596,256683,,89871,,121437,97722,,,,,,73236,,,69436,,71712,155267,,178961,143888,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
CS Computers,53008,,,53270,62923,59853,61833,,,42653,,,40819,,46130,39126,39891,44705,131231,137420,137745,112797,,117716,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
DS Comp. Sc. Engg- Data Sc.,62499,,108749,62788,89810,,60202,,,63082,,64245,59147,,,56490,65019,60899,164016,,,136508,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
EC Electronics,66908,,,74741,,83749,85601,,,65403,,,67234,,77177,63719,66757,73318,156231,,162631,142125,167570,154927,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
EE Electrical,103485,,192912,102933,,,99547,,,105105,,,99810,,,90307,91663,98609,141619,,,158457,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
IE Info.Science,55323,,,57686,,,,,,57191,,,52584,,,51116,51266,57669,145685,,,126962,,160279,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
ME Mechanical,,,,253526,,,254731,,,238868,,,206113,240355,,199490,,259490,260419,,,272045,,,E150,P E S Institute of Technology and Management  Shivamogga,Mock1
AE Aeronaut.Engg,,,,86321,,101676,94132,,,,,,66585,,,63001,112074,89982,120467,,134449,105610,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
AI Artificial Intelligence,39867,,,40081,,41951,,,,48483,,,44753,62417,,34138,,37777,146908,,168224,44692,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
"CA CS (AI, Machine Learning)",44034,,59901,38631,,,41077,,58680,34280,,,43420,,,30471,42340,37359,183883,,,116687,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
CS Computers,41533,,,37769,38395,43266,41400,,52848,38377,,43369,36873,,37799,33218,33723,35394,147058,164383,177816,116131,149530,149073,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
EC Electronics,54466,,,59278,,59821,56064,,,60774,,,56727,,60507,52485,57021,57882,198529,234214,212706,229926,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
"IC CS-IoT, Cyber Security",57436,,,56326,,59773,59790,81187,,45063,,,57096,,,44737,,52854,150023,,257266,137047,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
IE Info.Science,53970,,,53293,56545,55018,71307,,,53348,,,52125,,56236,46318,50821,49197,206416,225532,239819,213838,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
ME Mechanical,225120,,,204931,,,239244,,,,,,236993,,,172445,198126,249833,,,,,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
MT Mechatronics,258395,,,163919,,191359,120122,,,124393,,,148717,,,98341,,128824,244402,,,274565,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
RI Robotics and AI,91497,156422,141484,96646,,,110019,,,80250,,132764,78174,,,73730,,76125,229728,,,204709,,,E151,"Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",Mock1
"AD Artificial Intel, Data Sc",69024,,86887,80681,,,83677,,134564,72645,,,73505,,,63241,74492,72052,184457,,204848,115777,206102,,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada",Mock1
CE Civil,,,,,,,,,,,,,260002,,,257736,,,274505,,,,,,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada",Mock1
CS Computers,61691,,,64512,,68465,83634,,,61718,,,55483,,,51349,55247,60496,162415,204306,181116,87442,,142808,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada",Mock1
EC Electronics,87291,,,102699,114157,106542,155199,,,87661,,,91890,,98861,80770,81003,89400,246368,,251217,178926,,235360,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada",Mock1
EE Electrical,126702,,,119224,,,195880,,,,,,,,,110240,,117414,243011,,,273387,,,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada",Mock1
IE Info.Science,74299,,,79516,87187,80153,105572,,,72621,,,75292,,82658,68190,,69489,246097,,,234339,,,E152,"S D M Institute of Tech.  Ujire,Dakshina Kannada",Mock1
"AD Artificial Intel, Data Sc",85571,,,90444,,106998,80424,,,78190,,,79694,,,77759,86118,89759,123185,,174380,174974,,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
AI Artificial Intelligence,89317,,,87493,109764,90333,,,,78594,,,82645,,,74573,,85475,125954,,195958,206440,,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
CE Civil,,,,182540,,,272098,,,,,,251861,,,181473,,202885,243027,,,237699,,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
CS Computers,72511,,,83217,,86996,77676,,,74017,,,82475,,83245,70334,77678,74814,150677,158500,160588,134543,,157407,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
EA Agriculture Engineering,,,,106989,,,,,,,,118635,,,,88480,,104140,127012,,,172353,210558,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
EC Electronics,102717,,,106152,,,99006,,,96769,,,97298,111062,111529,96765,,100228,186343,,,203627,,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
"IC CS-IoT, Cyber Security",105560,,,108998,,114233,105012,,,104002,,,103433,,,102529,129938,102930,200958,,207890,254017,,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
IE Info.Science,91090,,,90817,121118,,98619,,,86741,,,90292,,,86683,113401,87397,180392,,208352,194658,,238629,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
ME Mechanical,273437,,,235270,,,,,,,,,,,,206796,,206959,226120,,,,,,E153,S E A College of Engineering and Technology  K R puram bangalore,Mock1
CE Civil,151451,,,155156,,171466,166613,,,151243,,,153297,,157352,135212,142937,147643,159570,,165351,167414,181147,,E154,Government Engineering College  Chamarajanagara,Mock1
CS Computers,53902,,59647,55185,,55643,60049,,95224,51644,72393,,51628,,,46808,47557,49047,73151,,75882,63841,,76874,E154,Government Engineering College  Chamarajanagara,Mock1
EC Electronics,103497,,,90905,97093,97360,85742,,,85752,,86834,82719,,,80288,85182,85422,131821,141795,147790,115370,,142479,E154,Government Engineering College  Chamarajanagara,Mock1
ME Mechanical,171489,,,184320,187317,220949,182471,,,169735,,237161,170188,,,167847,170325,171062,202574,205067,203504,200231,,,E154,Government Engineering College  Chamarajanagara,Mock1
AI Artificial Intelligence,56564,,,40635,,42376,39584,,,32390,48476,,32946,,,31184,34722,36483,65496,,79128,73776,,87520,E155,Government Engineering College  Hassan,Mock1
CE Civil,128786,,,141397,,164661,123947,217037,217198,124503,,,122566,,,120451,135007,131954,166825,,168278,174727,,,E155,Government Engineering College  Hassan,Mock1
CS Computers,47163,,50475,45628,49798,49502,45018,,63913,37430,,41166,43791,,44528,36440,40969,40961,78905,83921,85448,66096,73591,71849,E155,Government Engineering College  Hassan,Mock1
EC Electronics,67748,,,62067,,64300,84320,,,50767,,59195,54991,58574,55856,49806,53480,53794,91113,95523,104841,100473,,,E155,Government Engineering College  Hassan,Mock1
ME Mechanical,148346,,165892,160616,193126,163704,170420,,,154236,,,152986,,,129111,152970,146094,195398,205140,205272,204257,,211699,E155,Government Engineering College  Hassan,Mock1
CE Civil,175272,184006,,170082,,180899,180849,,,169223,,171038,160141,,164759,149326,151459,154386,175146,,176467,192673,,,E156,"Government Engineering College  K R Pet, Mandya DT.",Mock1
CS Computers,61099,,64762,63581,,66186,66057,,99831,56901,,,55069,,,51159,56557,56505,78091,91967,86108,70906,,,E156,"Government Engineering College  K R Pet, Mandya DT.",Mock1
EC Electronics,105730,,,78281,,90219,103153,,,74831,,87420,87555,,,73446,89745,78961,115655,,117025,124110,156814,143100,E156,"Government Engineering College  K R Pet, Mandya DT.",Mock1
ME Mechanical,198138,,,198670,221631,222796,189678,,,191512,,,199947,,201553,184171,185920,196724,218209,218922,240039,207869,,258719,E156,"Government Engineering College  K R Pet, Mandya DT.",Mock1
CE Civil,178764,,,179145,181248,179311,200895,,227152,176416,,191325,187683,,,167768,170019,176630,191600,200214,191949,200670,,,E157,Government Engineering College  Ramanagara,Mock1
CS Computers,62403,,,64839,,65417,77840,,,57135,,,56105,59891,60249,52953,58899,57232,89586,,89790,71558,,81090,E157,Government Engineering College  Ramanagara,Mock1
EC Electronics,93630,,,102850,,104472,95472,,,89162,,,90390,,,86568,90719,90691,115755,,163383,127055,167642,157104,E157,Government Engineering College  Ramanagara,Mock1
"MM Mechanical,  Smart Manf.",263922,,,258761,,,252193,,,256077,,,270928,,,223895,225214,253304,262475,268723,270912,263466,,,E157,Government Engineering College  Ramanagara,Mock1
"CA CS (AI, Machine Learning)",,,,46978,,47798,48292,,,39960,,,37760,,,37655,59849,45580,98662,,159305,79822,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
CB Comp. Sc. and Bus Sys.,58667,,,67969,,75586,78307,,,57773,65566,,58723,,,57479,,65942,168219,,186537,108015,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
CE Civil,174537,,,198610,,246279,173215,,,171373,,,168069,,190177,157737,194093,171153,193618,252946,268761,212696,,237290,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
CF CS(Artificial Intel.),63947,,,63588,82481,,53052,,80046,52303,,56092,53550,,,51699,63653,53203,123207,220457,,123239,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
CO Computer Engineering,65239,,,79517,,102779,81866,,,63512,,,65451,146590,,62563,,76017,156419,,211202,128476,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
CS Computers,40436,,,43195,48586,52718,44070,,,37493,,,36784,,41137,35263,39473,38139,83064,107715,146354,96088,,104364,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
DS Comp. Sc. Engg- Data Sc.,54529,,72133,57379,,,54534,101860,,52285,,,54262,,,51237,,57942,147977,,166620,131490,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
EC Electronics,63413,,,63562,70635,68651,78301,,,48926,,,49632,,56167,48432,53205,55072,144190,,152607,130175,,145892,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
"IC CS-IoT, Cyber Security",75660,164822,,73299,,80495,78082,,,62585,,,65306,,,61752,,67581,172724,,242591,143811,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
IE Info.Science,58306,,61979,49098,,67643,46633,,,47785,,,48182,,,44761,49308,55865,117428,130017,159185,111796,,153544,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
ME Mechanical,116623,,,132911,,,164666,,,129844,,158580,117657,,,114681,150100,154601,214061,,,192315,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
MK Mechanical Engg (Kannada),,,,234182,,,,,,,,,,,,227435,254054,253328,,,,,,,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",Mock1
AE Aeronaut.Engg,120057,,,122150,,135100,119538,,,121332,,,123496,,,115269,116296,117102,133887,,191290,135648,,,E159,Karavali Institute of Technology  Mangalore,Mock1
AI Artificial Intelligence,106444,,,110915,115396,119708,,,106183,107841,,,112943,,,100127,102943,105576,176157,,196162,143803,,,E159,Karavali Institute of Technology  Mangalore,Mock1
CS Computers,104510,,,109012,,111412,105257,,,108369,,,104465,,106789,100456,103163,105229,159415,197610,195173,180633,,189178,E159,Karavali Institute of Technology  Mangalore,Mock1
DS Comp. Sc. Engg- Data Sc.,147651,,,128373,,,121788,,124111,131070,,,120965,,,120261,,121344,189848,,207537,228836,,,E159,Karavali Institute of Technology  Mangalore,Mock1
EC Electronics,,145387,139354,124241,,,134200,,,,,,,,,115514,,116499,175018,,,253522,,,E159,Karavali Institute of Technology  Mangalore,Mock1
ME Mechanical,,,,,,,,,,,,,,,,269391,,,,,,,,,E159,Karavali Institute of Technology  Mangalore,Mock1
"CA CS (AI, Machine Learning)",39408,,,33709,34149,34646,32871,,,34212,,,30379,,34508,28521,33201,33339,155793,238972,253381,82689,,103714,E160,Sahyadri College of Engg. and Management  Mangalore,Mock1
CS Computers,23855,,32460,25897,26473,29130,26428,,28659,23959,,,22079,,23379,18500,19428,21379,107243,114802,122397,74655,95099,92477,E160,Sahyadri College of Engg. and Management  Mangalore,Mock1
EC Electronics,35175,,48563,39150,,39555,53233,,,38655,54077,,38124,,,34964,39815,38388,169492,,246092,94252,,102358,E160,Sahyadri College of Engg. and Management  Mangalore,Mock1
IE Info.Science,33493,,,31169,,31877,35453,,36279,33084,,36220,28856,34122,,26591,26902,28972,152298,,158971,92588,,,E160,Sahyadri College of Engg. and Management  Mangalore,Mock1
ME Mechanical,211443,,,135886,,141138,141217,,,117463,,,130596,,,112047,,123361,237096,,,199331,,,E160,Sahyadri College of Engg. and Management  Mangalore,Mock1
RA Robotics and Automation,73077,,,68561,,,73360,146617,,67360,,118679,71090,,,57262,61009,61179,230918,,248318,184896,,,E160,Sahyadri College of Engg. and Management  Mangalore,Mock1
CE Civil,192674,,193895,188789,,193795,207382,,,183549,,,181762,198016,195314,171385,174675,192774,200788,,207806,206231,,,E161,"Government Engineering College  Kushalnagar,Kodagu Dist",Mock1
CS Computers,71995,,,69892,70237,74661,75958,,91296,68836,,70953,64238,,,62435,63341,67003,96623,99617,102178,76459,,,E161,"Government Engineering College  Kushalnagar,Kodagu Dist",Mock1
EC Electronics,109171,,,105890,,106184,105488,110804,116471,98566,,,97013,,,93143,94958,96915,146234,,156081,128317,,171887,E161,"Government Engineering College  Kushalnagar,Kodagu Dist",Mock1
ME Mechanical,271126,,272505,246246,,257224,251008,,,214460,,,224825,,243967,208778,217648,225864,237718,248104,252531,241815,270351,266667,E161,"Government Engineering College  Kushalnagar,Kodagu Dist",Mock1
CE Civil,163430,,,160752,,177108,124787,,,,,,,,,115841,,141064,164438,,171715,130940,,,E162,Government Engineering College  Raichur,Mock1
CS Computers,50220,,,58945,,65023,,,,67743,,,61058,,,43351,56955,54671,73195,,,70974,,,E162,Government Engineering College  Raichur,Mock1
EC Electronics,,,,101911,,,96121,,125939,99443,,,91603,92694,,88866,,90594,118588,,,125606,,,E162,Government Engineering College  Raichur,Mock1
ME Mechanical,,,,274593,,,272533,,,270309,,,221363,,,202947,,240282,263835,,266937,273797,,,E162,Government Engineering College  Raichur,Mock1
CE Civil,172539,239511,207029,192549,,196236,196787,,224745,205923,,,163076,,172874,160632,164183,170794,194713,,200357,193783,,,E163,"Government Engineering College  Devagiri,Haveri",Mock1
CS Computers,67666,,,71764,,73976,76126,,,67807,74908,68016,60302,,,56871,57700,61671,98261,,101620,67369,,,E163,"Government Engineering College  Devagiri,Haveri",Mock1
EC Electronics,95407,,,104413,106639,112037,99600,,,97619,,,91437,,,88762,91770,90494,126817,,142045,137578,159959,152471,E163,"Government Engineering College  Devagiri,Haveri",Mock1
ME Mechanical,237000,,,248651,254388,254322,209537,,,211850,,,197363,,257597,187446,193419,223724,267970,272729,270285,214197,,245084,E163,"Government Engineering College  Devagiri,Haveri",Mock1
CE Civil,204000,,,195309,,208460,,,,209042,,,208678,,,175610,,187939,199305,202725,,175705,,219254,E164,"Government Engineering College  Huvina Hadagali,Bellary Dist.",Mock1
CS Computers,,,,74561,,75113,,,,67884,,,67511,,,65791,,65861,91728,,103181,86494,,,E164,"Government Engineering College  Huvina Hadagali,Bellary Dist.",Mock1
EC Electronics,,,,107624,,110550,115284,,,,,,,,,96293,98653,100114,147112,,151678,133572,,,E164,"Government Engineering College  Huvina Hadagali,Bellary Dist.",Mock1
ME Mechanical,,,,,,,,,,,,,,,,274708,,,,,,,,,E164,"Government Engineering College  Huvina Hadagali,Bellary Dist.",Mock1
AI Artificial Intelligence,95705,,,102789,,110812,89557,,,,,,93308,,,71887,103611,88266,163842,,209608,190347,,,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri",Mock1
CS Computers,81505,,,93321,108701,98941,84977,,,92016,,,88797,,89920,79372,85744,87176,175384,,182484,139887,,170135,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri",Mock1
DS Comp. Sc. Engg- Data Sc.,114970,,,110948,,,102157,,,,,111490,106294,,,101098,111592,106442,192042,219747,,206151,,235879,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri",Mock1
EC Electronics,135712,,,111747,,,112693,,,123294,,,106554,,,98745,102977,110415,198029,240758,252125,140268,,,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri",Mock1
EE Electrical,,,,136038,,,153778,,,131095,,,,,,124179,,127683,218725,,,161218,,,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri",Mock1
